,ABSPATH,LABEL,N_KEYWORDS,KEYWORDS
335,file336,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
336,file337,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
337,file338,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
338,file339,WELLS,5,"['latitude ', 'longitude', 'spud date', 'longitude', 'latitude ']"
339,file340,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
340,file341,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
341,file342,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
342,file343,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
343,file344,WELLS,8,"['northing', 'latitude ', 'easting', 'longitude', 'northing', 'latitude ', 'easting', 'longitude']"
344,file345,CHECK MANUALLY,0,
345,file346,CHECK MANUALLY,0,
346,file347,CHECK MANUALLY,0,
347,file348,CHECK MANUALLY,0,
348,file349,GEOMECH,4,"['youngs', 'cohesion', 'shmin', 'shmax']"
349,file350,CHECK MANUALLY,0,
350,file351,CHECK MANUALLY,0,
351,file352,DCM,1,['sa']
352,file353,CHECK MANUALLY,0,
353,file354,CHECK MANUALLY,0,
354,file355,CHECK MANUALLY,0,
355,file356,DCM,1,['sa']
356,file357,CHECK MANUALLY,0,
357,file358,CHECK MANUALLY,0,
358,file359,CHECK MANUALLY,0,
